time,open,high,low,close,volume,I,y,b,f,c,x
1638622860000,5.1371,5.1748,5.1371,5.1706,13166,1638622919999,67896.3667,153,9742,50211.3013,0
1638622920000,5.1698,5.1818,5.153,5.173,11944,1638622979999,61742.7687,113,3684,19042.1048,0
1638622980000,5.1727,5.1831,5.1684,5.1765,9854,1638623039999,51015.472,52,3077,15935.2162,0
1638623040000,5.1761,5.1761,5.1492,5.1604,7499,1638623099999,38695.9104,69,5197,26820.2265,0
1638623100000,5.1613,5.1736,5.1503,5.163,4447,1638623159999,22936.1565,48,1349,6961.5659,0
1638623160000,5.1665,5.1677,5.1548,5.1551,5874,1638623219999,30303.5967,47,3546,18291.6696,0
1638623220000,5.158,5.1666,5.1533,5.1656,3177,1638623279999,16392.1219,50,1463,7551.1215,0
1638623280000,5.1614,5.1696,5.1535,5.1609,9156,1638623339999,47218.332,50,3597,18556.2769,0
1638623340000,5.1613,5.178,5.1613,5.1725,8082,1638623399999,41762.0453,55,2982,15410.8481,0
1638623400000,5.1725,5.1725,5.1474,5.1538,13233,1638623459999,68219.1927,83,2508,12940.0675,0
1638623460000,5.1565,5.1651,5.144,5.1576,11320,1638623519999,58300.2537,85,6241,32146.8026,0
1638623520000,5.159,5.1627,5.1465,5.1553,29830,1638623579999,153901.2756,131,27850,143691.798,0
1638623580000,5.1598,5.16,5.1495,5.1509,5711,1638623639999,29440.5762,51,3182,16408.2147,0
1638623640000,5.1549,5.16,5.1485,5.1583,31176,1638623699999,160730.2927,126,17436,89951.5833,0
1638623700000,5.1612,5.1899,5.159,5.1899,5858,1638623759999,30274.1399,100,3179,16441.0055,0
1638623760000,5.1899,5.2052,5.1826,5.1986,20564,1638623819999,106818.1441,162,8120,42165.5902,0
1638623820000,5.1977,5.1981,5.1853,5.1901,8743,1638623879999,45384.9168,73,4490,23316.001,0
1638623880000,5.1853,5.189,5.1451,5.1451,22043,1638623939999,113795.9058,214,9908,51078.2384,0
1638623940000,5.1488,5.1545,5.1269,5.1269,25801,1638623999999,132612.777,204,7632,39251.0313,0
1638624000000,5.1266,5.1276,5.0806,5.0806,58073,1638624059999,296441.089,507,17695,90321.9059,0
1638624060000,5.0828,5.1164,5.071,5.1143,17477,1638624119999,88922.0104,187,11777,59943.002,0
1638624120000,5.1137,5.1217,5.1016,5.1016,4802,1638624179999,24537.4738,52,4329,22122.6221,0
1638624180000,5.1015,5.1361,5.0994,5.1229,14157,1638624239999,72493.9559,151,12289,62924.0673,0
1638624240000,5.1284,5.1435,5.1179,5.1396,4448,1638624299999,22824.4342,77,2627,13490.6365,0
1638624300000,5.1411,5.1478,5.1253,5.1403,6533,1638624359999,33551.5869,71,4134,21226.6674,0
1638624360000,5.1338,5.1711,5.1338,5.1612,3337,1638624419999,17213.9074,161,2921,15067.4813,0
1638624420000,5.1643,5.1929,5.1569,5.184,16665,1638624479999,86317.4786,204,13254,68639.8822,0
1638624480000,5.1894,5.1942,5.1342,5.1497,40595,1638624539999,209320.478,318,22690,117070.0951,0
1638624540000,5.147,5.1582,5.133,5.1511,15915,1638624599999,81895.5084,120,12536,64529.3572,0
1638624600000,5.1477,5.1974,5.1477,5.1954,8886,1638624659999,45981.2235,179,4191,21683.4428,0
1638624660000,5.1932,5.1964,5.1773,5.1801,15327,1638624719999,79519.9593,80,4501,23349.383,0
